Age,Height,Male,,,Female,,Weight,Male,,,Female,,BMI,Male,,,Female,
11.083,1,143.77,0.04654,1,144.59,0.04793,-1.007,34.8568,0.17119,-0.584,36.3582,0.19004,-1.834,16.935,0.11273,-1.321,17.53,0.12803
11.167,1,144.16,0.0467,1,145.06,0.048,-0.996,35.1298,0.17176,-0.57,36.6911,0.1904,-1.831,16.977,0.11296,-1.319,17.581,0.12816
11.25,1,144.55,0.04687,1,145.53,0.04805,-0.985,35.405,0.17233,-0.556,37.029,0.19066,-1.829,17.02,0.11319,-1.318,17.634,0.12827
11.333,1,144.95,0.04704,1,146,0.04808,-0.973,35.6823,0.17289,-0.541,37.3731,0.19082,-1.826,17.065,0.11341,-1.316,17.687,0.12838
11.417,1,145.34,0.04721,1,146.47,0.04809,-0.96,35.9633,0.17343,-0.526,37.7197,0.19089,-1.823,17.108,0.11362,-1.314,17.739,0.12849
11.5,1,145.75,0.04738,1,146.93,0.04808,-0.947,36.25,0.17397,-0.511,38.074,0.19084,-1.819,17.154,0.11382,-1.312,17.793,0.12858
11.583,1,146.16,0.04755,1,147.4,0.04805,-0.933,36.5432,0.17449,-0.496,38.4331,0.19067,-1.816,17.199,0.11402,-1.311,17.846,0.12866
11.667,1,146.58,0.04774,1,147.87,0.04799,-0.918,36.8423,0.175,-0.48,38.7977,0.19039,-1.813,17.244,0.1142,-1.309,17.9,0.12875
11.75,1,147.02,0.04792,1,148.34,0.04792,-0.903,37.149,0.1755,-0.465,39.168,0.19,-1.809,17.291,0.11438,-1.307,17.954,0.12882
11.833,1,147.46,0.0481,1,148.82,0.04782,-0.887,37.4638,0.17599,-0.449,39.5443,0.1895,-1.806,17.338,0.11456,-1.306,18.008,0.12888
11.917,1,147.91,0.04829,1,149.28,0.0477,-0.87,37.7877,0.17647,-0.434,39.9272,0.18891,-1.802,17.386,0.11472,-1.304,18.062,0.12894
12,1,148.36,0.04848,1,149.76,0.04755,-0.852,38.122,0.17692,-0.418,40.316,0.18821,-1.799,17.433,0.11488,-1.302,18.117,0.12899
12.083,1,148.83,0.04868,1,150.24,0.04739,-0.834,38.4653,0.17736,-0.403,40.7118,0.18743,-1.795,17.481,0.11503,-1.3,18.172,0.12903
12.167,1,149.31,0.04887,1,150.71,0.04721,-0.816,38.8201,0.17778,-0.388,41.1136,0.18656,-1.791,17.53,0.11517,-1.299,18.227,0.12907
12.25,1,149.81,0.04906,1,151.18,0.04701,-0.796,39.185,0.1782,-0.374,41.5218,0.18563,-1.787,17.579,0.11532,-1.297,18.281,0.1291
12.333,1,150.31,0.04926,1,151.66,0.0468,-0.776,39.5619,0.1786,-0.36,41.9359,0.18462,-1.783,17.629,0.11545,-1.295,18.337,0.12913
12.417,1,150.83,0.04945,1,152.13,0.04657,-0.755,39.9494,0.179,-0.347,42.3549,0.18355,-1.78,17.679,0.11558,-1.293,18.391,0.12915
12.5,1,151.35,0.04964,1,152.6,0.04632,-0.734,40.348,0.17938,-0.335,42.7779,0.18243,-1.776,17.729,0.1157,-1.291,18.446,0.12917
12.583,1,151.89,0.04983,1,153.06,0.04606,-0.712,40.7577,0.17978,-0.324,43.2045,0.18128,-1.771,17.779,0.11581,-1.29,18.5,0.12918
12.667,1,152.44,0.05001,1,153.52,0.04579,-0.69,41.1778,0.18017,-0.313,43.6328,0.18009,-1.767,17.83,0.11592,-1.288,18.555,0.12918
12.75,1,153,0.05019,1,153.96,0.04551,-0.668,41.609,0.18057,-0.304,44.0635,0.17887,-1.763,17.881,0.11603,-1.286,18.61,0.12919
12.833,1,153.58,0.05037,1,154.41,0.04522,-0.645,42.0509,0.18095,-0.295,44.4952,0.17764,-1.759,17.933,0.11613,-1.284,18.664,0.12919
12.917,1,154.17,0.05053,1,154.85,0.04492,-0.622,42.5052,0.18135,-0.288,44.9259,0.17641,-1.755,17.985,0.11622,-1.283,18.718,0.12918
13,1,154.77,0.05068,1,155.28,0.04462,-0.599,42.97,0.18173,-0.281,45.3568,0.17518,-1.75,18.037,0.11631,-1.281,18.772,0.12917
13.083,1,155.38,0.05083,1,155.7,0.04431,-0.575,43.4457,0.1821,-0.276,45.7863,0.17395,-1.746,18.089,0.11639,-1.279,18.825,0.12916
13.167,1,156,0.05095,1,156.11,0.044,-0.552,43.932,0.18245,-0.271,46.2121,0.17275,-1.742,18.142,0.11647,-1.277,18.88,0.12914
13.25,1,156.63,0.05107,1,156.52,0.04369,-0.53,44.428,0.18278,-0.268,46.6333,0.17156,-1.738,18.194,0.11655,-1.276,18.932,0.12913
13.333,1,157.27,0.05116,1,156.91,0.04338,-0.507,44.9328,0.18307,-0.266,47.0457,0.1704,-1.733,18.247,0.11662,-1.274,18.985,0.1291
13.417,1,157.91,0.05123,1,157.28,0.04307,-0.485,45.4445,0.18334,-0.265,47.4516,0.16924,-1.729,18.3,0.11668,-1.272,19.038,0.12908
13.5,1,158.55,0.05129,1,157.65,0.04276,-0.463,45.963,0.18359,-0.265,47.8494,0.16809,-1.724,18.354,0.11674,-1.271,19.09,0.12905
13.583,1,159.2,0.05132,1,158,0.04245,-0.442,46.4868,0.1838,-0.266,48.2413,0.16693,-1.72,18.407,0.1168,-1.269,19.142,0.12902
13.667,1,159.84,0.05133,1,158.35,0.04215,-0.422,47.0153,0.18397,-0.267,48.6218,0.16579,-1.715,18.46,0.11685,-1.267,19.194,0.12899
13.75,1,160.47,0.05131,1,158.69,0.04185,-0.403,47.547,0.18411,-0.27,48.993,0.16465,-1.711,18.514,0.1169,-1.266,19.244,0.12895
13.833,1,161.11,0.05126,1,159.01,0.04156,-0.384,48.081,0.18421,-0.274,49.3568,0.1635,-1.707,18.567,0.11695,-1.264,19.295,0.12892
13.917,1,161.74,0.0512,1,159.31,0.04127,-0.367,48.6173,0.18427,-0.278,49.7081,0.16237,-1.702,18.621,0.11699,-1.262,19.345,0.12888
14,1,162.36,0.0511,1,159.61,0.041,-0.351,49.154,0.18428,-0.284,50.052,0.16124,-1.697,18.675,0.11703,-1.261,19.395,0.12884
14.083,1,162.97,0.05098,1,159.89,0.04073,-0.336,49.6907,0.18425,-0.289,50.3846,0.16014,-1.693,18.729,0.11706,-1.259,19.445,0.12879
14.167,1,163.58,0.05083,1,160.16,0.04046,-0.322,50.2259,0.18415,-0.296,50.7117,0.15904,-1.689,18.783,0.1171,-1.258,19.493,0.12875
14.25,1,164.17,0.05065,1,160.42,0.04021,-0.31,50.76,0.18399,-0.303,51.024,0.15798,-1.684,18.836,0.11712,-1.256,19.542,0.1287
14.333,1,164.75,0.05045,1,160.67,0.03997,-0.299,51.2915,0.18376,-0.31,51.3267,0.15695,-1.68,18.89,0.11715,-1.254,19.589,0.12866
14.417,1,165.33,0.05023,1,160.9,0.03974,-0.289,51.8192,0.18346,-0.318,51.621,0.15595,-1.675,18.944,0.11717,-1.253,19.637,0.12861
14.5,1,165.88,0.04998,1,161.12,0.03952,-0.281,52.343,0.18309,-0.326,51.903,0.15499,-1.671,18.997,0.11719,-1.251,19.684,0.12856
14.583,1,166.43,0.04971,1,161.32,0.03931,-0.275,52.8618,0.18263,-0.335,52.176,0.15406,-1.666,19.051,0.11721,-1.25,19.73,0.12851
14.667,1,166.96,0.04942,1,161.52,0.0391,-0.269,53.375,0.18209,-0.343,52.4404,0.15316,-1.661,19.104,0.11722,-1.248,19.776,0.12846
14.75,1,167.48,0.04912,1,161.71,0.03892,-0.266,53.883,0.18146,-0.352,52.693,0.15232,-1.657,19.158,0.11723,-1.247,19.822,0.1284
14.833,1,167.98,0.04879,1,161.88,0.03874,-0.263,54.385,0.18075,-0.361,52.9367,0.15152,-1.652,19.211,0.11724,-1.245,19.866,0.12835
14.917,1,168.47,0.04846,1,162.03,0.03858,-0.263,54.8807,0.17995,-0.369,53.1707,0.15075,-1.648,19.264,0.11724,-1.244,19.911,0.1283
15,1,168.94,0.04811,1,162.18,0.03842,-0.263,55.369,0.17908,-0.378,53.3947,0.15005,-1.643,19.317,0.11725,-1.242,19.955,0.12824
15.083,1,169.4,0.04776,1,162.32,0.03828,-0.265,55.851,0.17813,-0.386,53.6118,0.14938,-1.639,19.37,0.11725,-1.241,19.998,0.12819
15.167,1,169.84,0.0474,1,162.44,0.03815,-0.268,56.3242,0.1771,-0.395,53.8203,0.14875,-1.635,19.423,0.11725,-1.239,20.041,0.12813
15.25,1,170.26,0.04703,1,162.56,0.03803,-0.272,56.7897,0.176,-0.403,54.022,0.14817,-1.63,19.475,0.11724,-1.238,20.083,0.12807
15.333,1,170.67,0.04666,1,162.66,0.03792,-0.278,57.2474,0.17482,-0.412,54.2157,0.14763,-1.626,19.528,0.11724,-1.236,20.124,0.12802
15.417,1,171.06,0.0463,1,162.76,0.03782,-0.284,57.6966,0.17357,-0.42,54.4033,0.14713,-1.621,19.579,0.11723,-1.235,20.166,0.12796
15.5,1,171.43,0.04594,1,162.85,0.03772,-0.292,58.138,0.17226,-0.428,54.5842,0.14668,-1.617,19.632,0.11722,-1.233,20.206,0.1279
15.583,1,171.79,0.04558,1,162.92,0.03764,-0.3,58.5697,0.17087,-0.436,54.7587,0.14625,-1.612,19.683,0.11721,-1.232,20.246,0.12785
15.667,1,172.14,0.04522,1,163,0.03756,-0.309,58.9933,0.16944,-0.443,54.9271,0.14587,-1.608,19.735,0.11719,-1.231,20.285,0.12779
15.75,1,172.48,0.04488,1,163.06,0.03749,-0.319,59.4074,0.16797,-0.451,55.0889,0.14551,-1.603,19.786,0.11718,-1.229,20.324,0.12773
15.833,1,172.79,0.04454,1,163.12,0.03743,-0.33,59.8116,0.16645,-0.458,55.244,0.14518,-1.599,19.837,0.11716,-1.228,20.363,0.12768
15.917,1,173.1,0.04421,1,163.18,0.03737,-0.341,60.2047,0.16491,-0.465,55.3943,0.14487,-1.595,19.887,0.11714,-1.226,20.401,0.12762
16,1,173.39,0.04389,1,163.22,0.03732,-0.352,60.588,0.16336,-0.472,55.538,0.14459,-1.59,19.938,0.11712,-1.225,20.438,0.12757
16.083,1,173.66,0.04358,1,163.27,0.03728,-0.364,60.9597,0.1618,-0.479,55.6765,0.14433,-1.586,19.988,0.1171,-1.224,20.475,0.12751
16.167,1,173.93,0.04328,1,163.3,0.03723,-0.376,61.3195,0.16025,-0.485,55.8086,0.14409,-1.582,20.038,0.11708,-1.222,20.511,0.12745
16.25,1,174.18,0.043,1,163.34,0.0372,-0.387,61.668,0.15872,-0.491,55.9355,0.14387,-1.577,20.087,0.11706,-1.221,20.547,0.1274
16.333,1,174.42,0.04273,1,163.37,0.03716,-0.399,62.0053,0.15722,-0.497,56.0561,0.14366,-1.573,20.137,0.11703,-1.22,20.582,0.12734
16.417,1,174.64,0.04246,1,163.4,0.03713,-0.411,62.3324,0.15576,-0.503,56.1713,0.14347,-1.569,20.186,0.117,-1.218,20.617,0.12729
16.5,1,174.86,0.04222,1,163.42,0.03711,-0.422,62.647,0.15434,-0.508,56.2816,0.1433,-1.564,20.234,0.11698,-1.217,20.652,0.12723
16.583,1,175.06,0.04198,1,163.45,0.03708,-0.434,62.9519,0.15297,-0.513,56.3863,0.14314,-1.56,20.282,0.11695,-1.216,20.685,0.12718
16.667,1,175.25,0.04175,1,163.46,0.03707,-0.445,63.2463,0.15166,-0.518,56.4854,0.14299,-1.556,20.33,0.11692,-1.214,20.718,0.12712
16.75,1,175.43,0.04154,1,163.48,0.03705,-0.456,63.531,0.15041,-0.523,56.581,0.14286,-1.551,20.378,0.11689,-1.213,20.751,0.12707
16.833,1,175.61,0.04134,1,163.49,0.03704,-0.467,63.806,0.14922,-0.528,56.6713,0.14274,-1.547,20.425,0.11686,-1.212,20.783,0.12702
16.917,1,175.77,0.04114,1,163.5,0.03703,-0.478,64.0717,0.14807,-0.532,56.7567,0.14262,-1.543,20.472,0.11683,-1.21,20.816,0.12696
17,1,175.92,0.04096,1,163.51,0.03702,-0.489,64.329,0.14699,-0.536,56.838,0.14252,-1.538,20.519,0.1168,-1.209,20.847,0.12691
17.083,1,176.07,0.04079,1,163.51,0.03701,-0.5,64.5782,0.14596,-0.54,56.9163,0.14243,-1.534,20.565,0.11677,-1.208,20.878,0.12686
17.167,1,176.21,0.04063,1,163.52,0.03701,-0.51,64.8187,0.14498,-0.544,56.9892,0.14234,-1.53,20.611,0.11674,-1.206,20.908,0.12681
17.25,1,176.33,0.04047,1,163.52,0.03701,-0.52,65.051,0.14407,-0.547,57.059,0.14226,-1.526,20.656,0.1167,-1.205,20.938,0.12676
17.333,1,176.45,0.04033,1,163.52,0.03701,-0.53,65.2768,0.1432,-0.551,57.1247,0.14218,-1.521,20.702,0.11667,-1.204,20.968,0.12671
17.417,1,176.57,0.0402,1,163.52,0.037,-0.539,65.4933,0.14238,-0.554,57.1875,0.14211,-1.517,20.746,0.11663,-1.203,20.997,0.12666
17.5,1,176.67,0.04008,1,163.53,0.037,-0.549,65.704,0.14161,-0.557,57.2469,0.14204,-1.513,20.791,0.1166,-1.201,21.026,0.1266
17.583,1,176.76,0.03997,1,163.53,0.03699,-0.558,65.9069,0.14088,-0.56,57.3041,0.14198,-1.509,20.836,0.11657,-1.2,21.054,0.12656
17.667,1,176.85,0.03987,1,163.54,0.03699,-0.567,66.1033,0.1402,-0.563,57.357,0.14192,-1.505,20.879,0.11653,-1.199,21.082,0.1265
17.75,1,176.92,0.03979,1,163.55,0.03698,-0.575,66.292,0.13956,-0.565,57.407,0.14187,-1.501,20.923,0.11649,-1.197,21.11,0.12646
17.833,1,176.99,0.03971,1,163.56,0.03697,-0.583,66.4765,0.13896,-0.568,57.4557,0.14182,-1.496,20.967,0.11646,-1.196,21.137,0.12641
17.917,1,177.04,0.03964,1,163.57,0.03696,-0.591,66.6541,0.13839,-0.57,57.5008,0.14177,-1.492,21.009,0.11642,-1.195,21.164,0.12636
18,1,177.09,0.03958,1,163.57,0.03695,-0.599,66.824,0.13786,-0.572,57.544,0.14173,-1.488,21.052,0.11639,-1.194,21.19,0.12631
18.083,1,177.13,0.03953,1,163.58,0.03695,-0.606,66.9883,0.13735,-0.574,57.5847,0.14168,-1.484,21.095,0.11635,-1.193,21.216,0.12627
18.167,1,177.17,0.03948,1,163.59,0.03694,-0.613,67.147,0.13688,-0.576,57.6235,0.14165,-1.48,21.136,0.11631,-1.191,21.242,0.12622
18.25,1,177.2,0.03945,1,163.6,0.03693,-0.62,67.3,0.13643,-0.578,57.66,0.14161,-1.476,21.178,0.11628,-1.19,21.267,0.12617
18.333,1,177.23,0.03942,1,163.6,0.03693,-0.627,67.448,0.13601,-0.58,57.6953,0.14157,-1.472,21.22,0.11624,-1.189,21.293,0.12613
18.417,1,177.25,0.0394,1,163.61,0.03692,-0.633,67.5898,0.13561,-0.582,57.7288,0.14154,-1.467,21.26,0.1162,-1.188,21.317,0.12608
18.5,1,177.26,0.03938,1,163.61,0.03692,-0.639,67.728,0.13523,-0.583,57.76,0.14151,-1.463,21.301,0.11617,-1.186,21.342,0.12604
18.583,1,177.27,0.03937,1,163.62,0.03691,-0.645,67.8607,0.13488,-0.585,57.7904,0.14148,-1.459,21.342,0.11613,-1.185,21.366,0.126
18.667,1,177.27,0.03936,1,163.62,0.03691,-0.651,67.988,0.13453,-0.586,57.8199,0.14145,-1.455,21.382,0.11609,-1.184,21.39,0.12595
18.75,1,177.28,0.03936,1,163.62,0.03691,-0.656,68.111,0.13422,-0.588,57.847,0.14142,-1.451,21.422,0.11605,-1.183,21.413,0.12591
18.833,1,177.28,0.03936,1,163.63,0.03691,-0.662,68.2298,0.13392,-0.589,57.8728,0.1414,-1.447,21.461,0.11602,-1.181,21.436,0.12587
18.917,1,177.28,0.03936,1,163.63,0.03691,-0.667,68.3437,0.13363,-0.59,57.897,0.14137,-1.443,21.501,0.11598,-1.18,21.459,0.12582
19,1,177.28,0.03935,1,163.63,0.03691,-0.671,68.454,0.13335,-0.591,57.92,0.14135,-1.439,21.54,0.11594,-1.179,21.482,0.12578
19.083,1,177.29,0.03935,1,163.63,0.03691,-0.676,68.5595,0.1331,-0.593,57.9421,0.14133,-1.435,21.578,0.11591,-1.178,21.504,0.12574
19.167,1,177.29,0.03934,1,163.63,0.03691,-0.68,68.6613,0.13284,-0.594,57.9627,0.14131,-1.431,21.617,0.11587,-1.177,21.527,0.1257
19.25,1,177.29,0.03934,1,163.63,0.03691,-0.685,68.76,0.13261,-0.595,57.982,0.14129,-1.427,21.655,0.11583,-1.175,21.548,0.12566
19.333,1,177.3,0.03934,1,163.63,0.03691,-0.689,68.8555,0.13239,-0.595,58.0002,0.14127,-1.423,21.693,0.1158,-1.174,21.57,0.12561
19.417,1,177.3,0.03934,1,163.63,0.03691,-0.693,68.9467,0.13217,-0.596,58.0164,0.14126,-1.419,21.73,0.11576,-1.173,21.591,0.12558
19.5,1,177.3,0.03934,1,163.63,0.0369,-0.697,69.036,0.13197,-0.597,58.032,0.14124,-1.415,21.768,0.11572,-1.172,21.612,0.12554
19.583,1,177.3,0.03933,1,163.63,0.0369,-0.7,69.1223,0.13177,-0.598,58.0464,0.14123,-1.412,21.805,0.11569,-1.171,21.633,0.1255
19.667,1,177.3,0.03933,1,163.63,0.0369,-0.704,69.2067,0.13158,-0.599,58.0597,0.14122,-1.408,21.842,0.11565,-1.169,21.653,0.12546
19.75,1,177.31,0.03932,1,163.63,0.0369,-0.708,69.289,0.13139,-0.599,58.072,0.1412,-1.404,21.878,0.11561,-1.168,21.674,0.12542
19.833,1,177.32,0.03931,1,163.64,0.0369,-0.711,69.3693,0.13122,-0.6,58.0833,0.14119,-1.4,21.914,0.11558,-1.167,21.695,0.12538
19.917,1,177.33,0.0393,1,163.64,0.0369,-0.714,69.447,0.13105,-0.6,58.0936,0.14118,-1.396,21.951,0.11554,-1.166,21.715,0.12534
20,1,177.34,0.03929,1,163.64,0.0369,-0.718,69.524,0.13088,-0.601,58.104,0.14117,-1.392,21.986,0.11551,-1.165,21.735,0.1253
20.083,1,177.36,0.03927,1,163.64,0.0369,-0.721,69.5987,0.13071,-0.601,58.1127,0.14116,-1.388,22.022,0.11547,-1.163,21.755,0.12527
20.167,1,177.37,0.03925,1,163.64,0.0369,-0.724,69.672,0.13056,-0.602,58.1217,0.14116,-1.385,22.058,0.11543,-1.162,21.774,0.12523
20.25,1,177.39,0.03924,1,163.65,0.03689,-0.727,69.744,0.1304,-0.602,58.129,0.14115,-1.381,22.093,0.1154,-1.161,21.793,0.12519
20.333,1,177.41,0.03922,1,163.65,0.03689,-0.73,69.8149,0.13025,-0.602,58.136,0.14114,-1.377,22.128,0.11537,-1.16,21.813,0.12516
20.417,1,177.43,0.0392,1,163.65,0.03689,-0.733,69.8844,0.1301,-0.603,58.1426,0.14114,-1.373,22.162,0.11533,-1.159,21.832,0.12512
20.5,1,177.44,0.03918,1,163.65,0.03689,-0.736,69.952,0.12996,-0.603,58.148,0.14113,-1.369,22.197,0.1153,-1.158,21.851,0.12508
20.583,1,177.46,0.03915,1,163.65,0.03689,-0.739,70.0196,0.12982,-0.603,58.153,0.14113,-1.366,22.231,0.11526,-1.156,21.87,0.12505
20.667,1,177.49,0.03913,1,163.65,0.03689,-0.741,70.0851,0.12968,-0.604,58.1567,0.14112,-1.362,22.266,0.11523,-1.155,21.888,0.12501
20.75,1,177.5,0.03911,1,163.65,0.03689,-0.744,70.15,0.12955,-0.604,58.16,0.14112,-1.358,22.299,0.11519,-1.154,21.907,0.12498
20.833,1,177.52,0.03909,1,163.65,0.03689,-0.747,70.2127,0.12941,-0.604,58.1619,0.14112,-1.354,22.333,0.11516,-1.153,21.925,0.12494
20.917,1,177.55,0.03907,1,163.65,0.03689,-0.749,70.2747,0.12929,-0.604,58.163,0.14112,-1.351,22.367,0.11513,-1.152,21.943,0.1249
21,1,177.57,0.03904,1,163.66,0.03689,-0.752,70.336,0.12916,-0.604,58.163,0.14112,-1.347,22.4,0.11509,-1.151,21.961,0.12487
21.083,1,177.59,0.03902,1,163.66,0.03689,-0.755,70.3957,0.12904,-0.604,58.164,0.14112,-1.343,22.433,0.11506,-1.149,21.979,0.12484
21.167,1,177.61,0.039,1,163.66,0.03689,-0.757,70.4547,0.12892,-0.604,58.165,0.14111,-1.34,22.467,0.11503,-1.148,21.997,0.1248
21.25,1,177.63,0.03897,1,163.67,0.03688,-0.759,70.512,0.1288,-0.604,58.167,0.14111,-1.336,22.499,0.11499,-1.147,22.015,0.12477
21.333,1,177.66,0.03895,1,163.67,0.03688,-0.762,70.5692,0.12869,-0.604,58.1707,0.14111,-1.332,22.532,0.11496,-1.146,22.032,0.12473
21.417,1,177.68,0.03892,1,163.68,0.03688,-0.764,70.6236,0.12857,-0.604,58.1738,0.1411,-1.329,22.565,0.11493,-1.145,22.05,0.1247
21.5,1,177.7,0.0389,1,163.69,0.03687,-0.766,70.6781,0.12847,-0.605,58.178,0.14109,-1.325,22.597,0.11489,-1.144,22.067,0.12467
21.583,1,177.73,0.03887,1,163.69,0.03687,-0.769,70.7314,0.12836,-0.605,58.1833,0.14109,-1.322,22.629,0.11487,-1.143,22.085,0.12463
21.667,1,177.75,0.03884,1,163.7,0.03687,-0.771,70.7838,0.12825,-0.605,58.1887,0.14108,-1.318,22.662,0.11483,-1.142,22.102,0.1246
21.75,1,177.77,0.03882,1,163.71,0.03686,-0.773,70.834,0.12815,-0.606,58.194,0.14107,-1.314,22.693,0.1148,-1.14,22.119,0.12456
21.833,1,177.8,0.03879,1,163.72,0.03686,-0.775,70.8838,0.12806,-0.606,58.2003,0.14106,-1.311,22.725,0.11477,-1.139,22.136,0.12453
21.917,1,177.82,0.03876,1,163.73,0.03685,-0.777,70.9334,0.12796,-0.606,58.2066,0.14105,-1.307,22.757,0.11474,-1.138,22.153,0.1245
22,1,177.85,0.03873,1,163.73,0.03685,-0.779,70.982,0.12786,-0.607,58.213,0.14104,-1.304,22.788,0.11471,-1.137,22.17,0.12447
22.083,1,177.88,0.03871,1,163.74,0.03684,-0.781,71.0297,0.12776,-0.607,58.22,0.14104,-1.3,22.82,0.11468,-1.136,22.187,0.12443
22.167,1,177.91,0.03867,1,163.75,0.03684,-0.783,71.0773,0.12767,-0.607,58.2267,0.14103,-1.297,22.851,0.11464,-1.135,22.203,0.1244
22.25,1,177.94,0.03864,1,163.76,0.03683,-0.785,71.124,0.12758,-0.608,58.233,0.14102,-1.293,22.882,0.11461,-1.134,22.22,0.12437
22.333,1,177.97,0.03861,1,163.77,0.03683,-0.787,71.1714,0.12749,-0.608,58.2401,0.14101,-1.29,22.913,0.11458,-1.133,22.237,0.12434
22.417,1,178,0.03858,1,163.78,0.03682,-0.789,71.2176,0.12739,-0.608,58.2476,0.141,-1.286,22.945,0.11455,-1.132,22.254,0.1243
22.5,1,178.03,0.03854,1,163.78,0.03682,-0.791,71.2645,0.1273,-0.609,58.2546,0.14099,-1.283,22.975,0.11452,-1.131,22.271,0.12427
22.583,1,178.06,0.03851,1,163.79,0.03682,-0.793,71.311,0.12721,-0.609,58.262,0.14098,-1.279,23.005,0.11449,-1.13,22.287,0.12424
22.667,1,178.09,0.03847,1,163.8,0.03681,-0.795,71.3573,0.12711,-0.61,58.269,0.14096,-1.276,23.036,0.11446,-1.129,22.303,0.12421
22.75,1,178.13,0.03843,1,163.8,0.03681,-0.797,71.404,0.12702,-0.61,58.277,0.14095,-1.272,23.067,0.11443,-1.127,22.319,0.12418
22.833,1,178.16,0.0384,1,163.81,0.03681,-0.799,71.4502,0.12693,-0.61,58.284,0.14094,-1.269,23.097,0.1144,-1.126,22.336,0.12414
22.917,1,178.2,0.03836,1,163.82,0.0368,-0.8,71.4964,0.12684,-0.611,58.2917,0.14093,-1.266,23.127,0.11437,-1.125,22.352,0.12411
23,1,178.23,0.03833,1,163.82,0.0368,-0.802,71.538,0.12676,-0.611,58.297,0.14093,-1.263,23.154,0.11434,-1.125,22.364,0.12409
